               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10901,            0.028282,                   0,           0.0016456,             0.46988,           0.0014635,          0.00030714,            0.092772,             0.01796,                   0,              0.0721,              0.0031,              0.0031
                   1,             0.08691,             0.02362,                   0,             0.10685,             0.28916,             0.12115,            0.035763,            0.074032,            0.014423,                   0,            0.043175,           0.0061753,           0.0061753
                   2,            0.080628,            0.020094,                   0,             0.24108,             0.45164,              0.2828,            0.066125,            0.076588,            0.012088,                   0,            0.014124,           0.0091238,           0.0091238
                   3,            0.077352,            0.019024,                   0,             0.18277,             0.83133,             0.56459,             0.20625,             0.06544,            0.011351,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.065806,            0.020183,                   0,              0.4196,             0.62651,             0.55148,             0.19393,            0.064256,            0.010225,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.058496,            0.020251,                   0,             0.89235,             0.53012,              0.6844,             0.17515,            0.064485,           0.0089175,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053111,            0.017385,                   0,             0.98093,             0.61977,             0.78177,             0.39997,            0.051909,           0.0095322,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.049471,            0.017504,                   0,             0.87283,             0.66154,               0.812,             0.47597,            0.040953,           0.0096487,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046102,            0.016926,                   0,             0.83177,             0.71084,              0.8135,             0.35408,            0.038945,           0.0092743,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043495,            0.014252,                   0,             0.94857,             0.75904,             0.91448,             0.43955,            0.034146,           0.0085762,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.04183,            0.014464,                   0,             0.94863,             0.79518,              0.9204,             0.42165,            0.038568,           0.0078553,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.039421,             0.01508,                   0,             0.80345,             0.78803,             0.89077,             0.45498,            0.035232,           0.0071395,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037138,             0.01224,                   0,             0.85076,             0.80723,             0.89708,             0.57881,            0.036767,            0.006613,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.037981,            0.011146,                   0,             0.90048,             0.90361,             0.95016,             0.36458,            0.038226,           0.0064091,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.036098,            0.012099,                   0,              0.9321,             0.91566,             0.97211,             0.46117,            0.033914,           0.0061776,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.03658,            0.010659,                   0,             0.94869,             0.92771,             0.98074,             0.42719,            0.040434,           0.0059309,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033419,            0.010595,                   0,             0.96182,             0.91067,             0.97793,             0.53357,            0.036338,           0.0058569,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032138,           0.0097892,                   0,             0.94869,             0.93976,             0.97898,             0.56431,             0.02932,           0.0054721,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.031607,            0.009243,                   0,             0.86555,             0.93976,             0.96533,             0.53525,            0.035027,           0.0054447,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.031255,           0.0089797,                   0,             0.94967,             0.98795,             0.98116,             0.50063,            0.033565,           0.0053216,                   0,            0.006436,            0.006436,            0.006436
                  20,              0.0303,           0.0083734,                   0,              0.9315,             0.98309,             0.98344,             0.46529,            0.035273,           0.0050976,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.02917,           0.0082998,                   0,             0.95324,             0.98239,             0.98977,             0.53912,            0.032652,           0.0050931,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027887,           0.0088518,                   0,             0.95297,                   1,             0.98855,              0.6224,            0.028486,           0.0048882,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.027275,           0.0080048,                   0,             0.94961,             0.98795,             0.98807,             0.58616,            0.030864,           0.0048808,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.026729,           0.0078508,                   0,             0.95393,             0.99785,              0.9896,             0.58794,            0.029402,           0.0048098,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.028164,           0.0081672,                   0,             0.95151,             0.98795,             0.98449,             0.71548,            0.022371,            0.004619,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.025471,           0.0081777,                   0,             0.95296,             0.98795,             0.97629,             0.66478,            0.024696,           0.0045846,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.025349,           0.0076559,                   0,             0.95964,             0.98795,             0.97412,             0.67999,            0.024504,           0.0045139,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.025037,           0.0070313,                   0,             0.96256,             0.98795,              0.9798,             0.71223,            0.021707,            0.004405,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.023282,           0.0072581,                   0,             0.95105,                   1,             0.97508,             0.65938,            0.024729,            0.004476,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.023569,           0.0068391,                   0,             0.94198,                   1,             0.97358,             0.63951,            0.025927,           0.0044526,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.023056,           0.0067407,                   0,             0.93985,                   1,             0.97674,             0.70577,            0.021312,            0.004322,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.022217,           0.0069987,                   0,             0.95295,                   1,             0.98343,             0.71343,            0.021407,             0.00427,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.021943,           0.0069573,                   0,              0.9537,             0.99276,             0.98411,             0.66522,            0.023016,           0.0042755,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.021084,            0.006763,                   0,              0.9538,             0.99505,             0.98147,             0.70686,            0.020848,           0.0041724,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.020721,           0.0063764,                   0,               0.963,             0.98795,             0.97813,             0.69639,            0.021502,           0.0041828,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.020079,           0.0063492,                   0,             0.96242,             0.98795,             0.97799,             0.72628,            0.019653,           0.0040823,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.020746,           0.0062003,                   0,             0.96081,             0.98795,             0.97786,             0.71724,            0.021716,           0.0041217,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.019669,           0.0061733,                   0,             0.96156,             0.98795,              0.9803,              0.6744,            0.023192,           0.0041417,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.019577,            0.006555,                   0,             0.96132,             0.98795,             0.97683,             0.72384,            0.020373,           0.0040651,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018886,           0.0066379,                   0,             0.95392,             0.99776,             0.97587,             0.73941,            0.019025,           0.0039926,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018241,           0.0064043,                   0,             0.96339,             0.98795,             0.97384,             0.70844,             0.02049,           0.0039934,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018053,           0.0060785,                   0,             0.96254,             0.98795,             0.97362,             0.70595,            0.020941,           0.0040273,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017892,           0.0060477,                   0,             0.96326,             0.98795,             0.97362,             0.74324,            0.018797,           0.0039085,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017299,            0.005826,                   0,             0.96208,             0.98795,             0.97397,             0.73612,            0.019185,           0.0038983,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.016627,           0.0058736,                   0,             0.95393,             0.99795,             0.97328,             0.69739,             0.02062,           0.0039315,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01715,           0.0058051,                   0,             0.95395,             0.99828,             0.97172,             0.73088,            0.018996,            0.003899,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016223,           0.0060069,                   0,             0.95395,             0.99843,             0.97146,             0.71733,            0.019511,           0.0038952,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.016537,           0.0058847,                   0,             0.95395,              0.9984,             0.97198,             0.71419,            0.019729,           0.0038879,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.015887,           0.0054885,                   0,             0.96057,             0.98795,             0.97222,             0.71224,            0.019424,           0.0038679,                   0,            0.000496,            0.000496,            0.000496
